0.00	0.00
0.01	0.01
0.01	0.01
0.02	0.02
0.03	0.03
0.03	0.03
0.04	0.04
0.04	0.04
0.05	0.05
0.06	0.06
0.06	0.06
0.07	0.07
0.08	0.08
0.08	0.08
0.09	0.09
0.09	0.09
0.10	0.10
0.11	0.11
0.11	0.11
0.12	0.12
0.13	0.13
0.13	0.13
0.14	0.14
0.14	0.14
0.15	0.15
0.16	0.16
0.16	0.16
0.17	0.17
0.18	0.18
0.18	0.18
0.19	0.19
0.19	0.19
0.20	0.20
0.21	0.21
0.21	0.21
0.22	0.22
0.23	0.22
0.23	0.23
0.24	0.24
0.25	0.24
0.25	0.25
0.26	0.25
0.26	0.26
0.27	0.27
0.28	0.27
0.28	0.28
0.29	0.29
0.30	0.29
0.30	0.30
0.31	0.30
0.31	0.31
0.32	0.31
0.33	0.32
0.33	0.33
0.34	0.33
0.35	0.34
0.35	0.34
0.36	0.35
0.36	0.36
0.37	0.36
0.38	0.37
0.38	0.37
0.39	0.38
0.40	0.39
0.40	0.39
0.41	0.40
0.41	0.40
0.42	0.41
0.43	0.41
0.43	0.42
0.44	0.43
0.45	0.43
0.45	0.44
0.46	0.44
0.46	0.45
0.47	0.45
0.48	0.46
0.48	0.47
0.49	0.47
0.50	0.48
0.50	0.48
0.51	0.49
0.52	0.49
0.52	0.50
0.53	0.50
0.53	0.51
0.54	0.51
0.55	0.52
0.55	0.53
0.56	0.53
0.57	0.54
0.57	0.54
0.58	0.55
0.58	0.55
0.59	0.56
0.60	0.56
0.60	0.57
0.61	0.57
0.62	0.58
0.62	0.58
0.63	0.59
0.63	0.59
0.64	0.60
0.65	0.60
0.65	0.61
0.66	0.61
0.67	0.62
0.67	0.62
0.68	0.63
0.68	0.63
0.69	0.64
0.70	0.64
0.70	0.65
0.71	0.65
0.72	0.66
0.72	0.66
0.73	0.67
0.74	0.67
0.74	0.68
0.75	0.68
0.75	0.68
0.76	0.69
0.77	0.69
0.77	0.70
0.78	0.70
0.79	0.71
0.79	0.71
0.80	0.72
0.80	0.72
0.81	0.72
0.82	0.73
0.82	0.73
0.83	0.74
0.84	0.74
0.84	0.75
0.85	0.75
0.85	0.75
0.86	0.76
0.87	0.76
0.87	0.77
0.88	0.77
0.89	0.77
0.89	0.78
0.90	0.78
0.90	0.79
0.91	0.79
0.92	0.79
0.92	0.80
0.93	0.80
0.94	0.81
0.94	0.81
0.95	0.81
0.96	0.82
0.96	0.82
0.97	0.82
0.97	0.83
0.98	0.83
0.99	0.83
0.99	0.84
1.00	0.84
1.01	0.84
1.01	0.85
1.02	0.85
1.02	0.85
1.03	0.86
1.04	0.86
1.04	0.86
1.05	0.87
1.06	0.87
1.06	0.87
1.07	0.88
1.07	0.88
1.08	0.88
1.09	0.89
1.09	0.89
1.10	0.89
1.11	0.89
1.11	0.90
1.12	0.90
1.12	0.90
1.13	0.90
1.14	0.91
1.14	0.91
1.15	0.91
1.16	0.92
1.16	0.92
1.17	0.92
1.17	0.92
1.18	0.93
1.19	0.93
1.19	0.93
1.20	0.93
1.21	0.93
1.21	0.94
1.22	0.94
1.23	0.94
1.23	0.94
1.24	0.95
1.24	0.95
1.25	0.95
1.26	0.95
1.26	0.95
1.27	0.95
1.28	0.96
1.28	0.96
1.29	0.96
1.29	0.96
1.30	0.96
1.31	0.97
1.31	0.97
1.32	0.97
1.33	0.97
1.33	0.97
1.34	0.97
1.34	0.97
1.35	0.98
1.36	0.98
1.36	0.98
1.37	0.98
1.38	0.98
1.38	0.98
1.39	0.98
1.39	0.98
1.40	0.99
1.41	0.99
1.41	0.99
1.42	0.99
1.43	0.99
1.43	0.99
1.44	0.99
1.45	0.99
1.45	0.99
1.46	0.99
1.46	0.99
1.47	0.99
1.48	1.00
1.48	1.00
1.49	1.00
1.50	1.00
1.50	1.00
1.51	1.00
1.51	1.00
1.52	1.00
1.53	1.00
1.53	1.00
1.54	1.00
1.55	1.00
1.55	1.00
1.56	1.00
1.56	1.00
1.57	1.00
1.58	1.00
1.58	1.00
1.59	1.00
1.60	1.00
1.60	1.00
1.61	1.00
1.61	1.00
1.62	1.00
1.63	1.00
1.63	1.00
1.64	1.00
1.65	1.00
1.65	1.00
1.66	1.00
1.67	1.00
1.67	0.99
1.68	0.99
1.68	0.99
1.69	0.99
1.70	0.99
1.70	0.99
1.71	0.99
1.72	0.99
1.72	0.99
1.73	0.99
1.73	0.99
1.74	0.99
1.75	0.98
1.75	0.98
1.76	0.98
1.77	0.98
1.77	0.98
1.78	0.98
1.78	0.98
1.79	0.98
1.80	0.97
1.80	0.97
1.81	0.97
1.82	0.97
1.82	0.97
1.83	0.97
1.83	0.97
1.84	0.96
1.85	0.96
1.85	0.96
1.86	0.96
1.87	0.96
1.87	0.95
1.88	0.95
1.88	0.95
1.89	0.95
1.90	0.95
1.90	0.95
1.91	0.94
1.92	0.94
1.92	0.94
1.93	0.94
1.94	0.93
1.94	0.93
1.95	0.93
1.95	0.93
1.96	0.93
1.97	0.92
1.97	0.92
1.98	0.92
1.99	0.92
1.99	0.91
2.00	0.91
2.00	0.91
2.01	0.90
2.02	0.90
2.02	0.90
2.03	0.90
2.04	0.89
2.04	0.89
2.05	0.89
2.05	0.89
2.06	0.88
2.07	0.88
2.07	0.88
2.08	0.87
2.09	0.87
2.09	0.87
2.10	0.86
2.10	0.86
2.11	0.86
2.12	0.85
2.12	0.85
2.13	0.85
2.14	0.84
2.14	0.84
2.15	0.84
2.16	0.83
2.16	0.83
2.17	0.83
2.17	0.82
2.18	0.82
2.19	0.82
2.19	0.81
2.20	0.81
2.21	0.81
2.21	0.80
2.22	0.80
2.22	0.79
2.23	0.79
2.24	0.79
2.24	0.78
2.25	0.78
2.26	0.77
2.26	0.77
2.27	0.77
2.27	0.76
2.28	0.76
2.29	0.75
2.29	0.75
2.30	0.75
2.31	0.74
2.31	0.74
2.32	0.73
2.32	0.73
2.33	0.72
2.34	0.72
2.34	0.72
2.35	0.71
2.36	0.71
2.36	0.70
2.37	0.70
2.38	0.69
2.38	0.69
2.39	0.68
2.39	0.68
2.40	0.68
2.41	0.67
2.41	0.67
2.42	0.66
2.43	0.66
2.43	0.65
2.44	0.65
2.44	0.64
2.45	0.64
2.46	0.63
2.46	0.63
2.47	0.62
2.48	0.62
2.48	0.61
2.49	0.61
2.49	0.60
2.50	0.60
2.51	0.59
